datum,value
2021-06-02T16:00:00,40
2021-06-02T18:00:00,53
2021-06-02T20:00:00,49
2021-06-02T22:00:00,42
2021-06-03T00:00:00,31
2021-06-03T02:00:00,32
2021-06-03T04:00:00,27
2021-06-03T06:00:00,28
2021-06-03T08:00:00,29
2021-06-03T10:00:00,31
2021-06-03T12:00:00,46
2021-06-03T14:00:00,94
2021-06-03T16:00:00,77
2021-06-03T18:00:00,110
2021-06-03T20:00:00,114
2021-06-03T22:00:00,75
2021-06-04T00:00:00,53
2021-06-04T02:00:00,53
2021-06-04T04:00:00,53
2021-06-04T06:00:00,48
2021-06-04T08:00:00,47
2021-06-04T10:00:00,40
2021-06-04T12:00:00,33
2021-06-04T14:00:00,37
2021-06-04T16:00:00,40
2021-06-04T18:00:00,39
2021-06-04T20:00:00,38
2021-06-04T22:00:00,50
2021-06-05T00:00:00,70
2021-06-05T02:00:00,84
2021-06-05T04:00:00,97
2021-06-05T06:00:00,98
2021-06-05T08:00:00,122
2021-06-05T10:00:00,117
2021-06-05T12:00:00,99
2021-06-05T14:00:00,98
2021-06-05T16:00:00,80
2021-06-05T18:00:00,64
2021-06-05T20:00:00,59
2021-06-05T22:00:00,55
2021-06-06T00:00:00,51
2021-06-06T02:00:00,40
2021-06-06T04:00:00,39
2021-06-06T06:00:00,39
2021-06-06T08:00:00,46
2021-06-06T10:00:00,50
2021-06-06T12:00:00,45
2021-06-06T14:00:00,39
2021-06-06T16:00:00,41
2021-06-06T18:00:00,37
2021-06-06T20:00:00,30
2021-06-06T22:00:00,30
2021-06-07T00:00:00,32
2021-06-07T02:00:00,43
2021-06-07T04:00:00,39
2021-06-07T06:00:00,33
2021-06-07T08:00:00,26
2021-06-07T10:00:00,25
2021-06-07T12:00:00,28
2021-06-07T14:00:00,33
2021-06-07T16:00:00,39
2021-06-07T18:00:00,51
2021-06-07T20:00:00,59
2021-06-07T22:00:00,54
2021-06-08T00:00:00,40
2021-06-08T02:00:00,37
2021-06-08T04:00:00,30
2021-06-08T06:00:00,30
2021-06-08T08:00:00,33
2021-06-08T10:00:00,27
2021-06-08T12:00:00,26
2021-06-08T14:00:00,27
2021-06-08T16:00:00,26
2021-06-08T18:00:00,30
2021-06-08T20:00:00,23
2021-06-08T22:00:00,22
2021-06-09T00:00:00,23
2021-06-09T02:00:00,20
2021-06-09T04:00:00,19
2021-06-09T06:00:00,22
2021-06-09T08:00:00,37
2021-06-09T10:00:00,40
2021-06-09T12:00:00,33
2021-06-09T14:00:00,23
2021-06-09T16:00:00,19
2021-06-09T18:00:00,25
2021-06-09T20:00:00,33
2021-06-09T22:00:00,41
2021-06-10T00:00:00,61
2021-06-10T02:00:00,65
2021-06-10T04:00:00,46
2021-06-10T06:00:00,48
2021-06-10T08:00:00,63
2021-06-10T10:00:00,74
2021-06-10T12:00:00,66
2021-06-10T14:00:00,63
2021-06-10T16:00:00,64
2021-06-10T18:00:00,100
2021-06-10T20:00:00,90
2021-06-10T22:00:00,91
2021-06-11T00:00:00,74
2021-06-11T02:00:00,79
2021-06-11T04:00:00,60
2021-06-11T06:00:00,72
2021-06-11T08:00:00,75
2021-06-11T10:00:00,71
2021-06-11T12:00:00,65
2021-06-11T14:00:00,84
2021-06-11T16:00:00,91
2021-06-11T18:00:00,83
2021-06-11T20:00:00,86
2021-06-11T22:00:00,103
2021-06-12T00:00:00,83
2021-06-12T02:00:00,95
2021-06-12T04:00:00,85
2021-06-12T06:00:00,75
2021-06-12T08:00:00,81
2021-06-12T10:00:00,83
2021-06-12T12:00:00,67
2021-06-12T14:00:00,55
2021-06-12T16:00:00,38
2021-06-12T18:00:00,29
