date,luna
1989-01-07T00:00:00,0
1989-01-14T00:00:00,10
1989-01-21T00:00:00,20
1989-01-29T00:00:00,30
1989-02-05T00:00:00,0
1989-02-12T00:00:00,10
1989-02-20T00:00:00,20
1989-02-28T00:00:00,30
1989-03-07T00:00:00,0
1989-03-14T00:00:00,10
1989-03-22T00:00:00,20
1989-03-30T00:00:00,30
1989-04-05T00:00:00,0
1989-04-12T00:00:00,10
1989-04-20T00:00:00,20
1989-04-28T00:00:00,30
1989-05-05T00:00:00,0
1989-05-12T00:00:00,10
1989-05-20T00:00:00,20
1989-05-27T00:00:00,30
1989-06-03T00:00:00,0
1989-06-10T00:00:00,10
1989-06-18T00:00:00,20
1989-06-26T00:00:00,30
1989-07-02T00:00:00,0
1989-07-10T00:00:00,10
1989-07-18T00:00:00,20
1989-07-25T00:00:00,30
1989-08-01T00:00:00,0
1989-08-09T00:00:00,10
1989-08-16T00:00:00,20
1989-08-23T00:00:00,30
1989-08-30T00:00:00,0
1989-09-08T00:00:00,10
1989-09-15T00:00:00,20
1989-09-21T00:00:00,30
1989-09-29T00:00:00,0
1989-10-07T00:00:00,10
1989-10-14T00:00:00,20
1989-10-21T00:00:00,30
1989-10-29T00:00:00,0
1989-11-06T00:00:00,10
1989-11-12T00:00:00,20
1989-11-19T00:00:00,30
1989-01-28T00:00:00,0
1989-12-05T00:00:00,10
1989-12-12T00:00:00,20
1989-12-19T00:00:00,30
1989-12-27T00:00:00,0
1990-01-04T00:00:00,10
1990-01-10T00:00:00,20
1990-01-18T00:00:00,30
1990-01-26T00:00:00,0
1990-02-02T00:00:00,10
1990-02-09T00:00:00,20
1990-02-17T00:00:00,30
1990-02-25T00:00:00,0
1990-03-03T00:00:00,10
1990-03-11T00:00:00,20
1990-03-19T00:00:00,30
1990-03-26T00:00:00,0
1990-04-02T00:00:00,10
1990-04-09T00:00:00,20
1990-04-18T00:00:00,30
1990-04-24T00:00:00,0
1990-05-01T00:00:00,10
1990-05-09T00:00:00,20
1990-05-17T00:00:00,30
1990-05-24T00:00:00,0
1990-05-31T00:00:00,10
1990-06-08T00:00:00,20
1990-06-15T00:00:00,30
1990-06-22T00:00:00,0
1990-06-29T00:00:00,10
1990-07-07T00:00:00,20
1990-07-15T00:00:00,30
1990-07-21T00:00:00,0
1990-07-29T00:00:00,10
1990-08-06T00:00:00,20
1990-08-13T00:00:00,30
1990-08-20T00:00:00,0
1990-08-28T00:00:00,10
1990-09-04T00:00:00,20
1990-09-11T00:00:00,30
1990-09-18T00:00:00,0
1990-09-26T00:00:00,10
1990-10-04T00:00:00,20
1990-10-10T00:00:00,30
1990-10-18T00:00:00,0
1990-10-26T00:00:00,10
1990-11-02T00:00:00,20
1990-11-09T00:00:00,30
1990-11-17T00:00:00,0
