"datum","value"
"2014-04-25T17:20:00+01:00","66"
"2014-04-25T23:30:00+01:00","414"
"2014-04-26T06:05:00+01:00","20"
"2014-04-26T12:00:00+01:00","443"
"2014-04-26T18:40:00+01:00","44"
"2014-04-27T00:25:00+01:00","438"
"2014-04-27T07:10:00+01:00","10"
"2014-04-27T12:55:00+01:00","467"
"2014-04-27T19:10:00+01:00","48"
"2014-04-28T01:10:00+01:00","463"
"2014-04-28T07:55:00+01:00","9"
"2014-04-28T13:30:00+01:00","466"
"2014-04-28T20:05:00+01:00","24"
"2014-04-29T02:10:00+01:00","467"
"2014-04-29T08:30:00+01:00","4"
"2014-04-29T14:30:00+01:00","476"
"2014-04-29T20:55:00+01:00","19"
"2014-04-30T02:35:00+01:00","473"
"2014-04-30T09:10:00+01:00","9"
"2014-04-30T15:05:00+01:00","470"
"2014-04-30T21:25:00+01:00","22"
"2014-05-01T03:05:00+01:00","473"
"2014-05-01T09:45:00+01:00","16"
"2014-05-01T15:45:00+01:00","467"
"2014-05-01T22:05:00+01:00","22"
"2014-05-02T04:00:00+01:00","474"
"2014-05-02T10:30:00+01:00","34"
"2014-05-02T16:15:00+01:00","455"
"2014-05-02T22:50:00+01:00","18"
"2014-05-03T04:40:00+01:00","446"
"2014-05-03T11:05:00+01:00","32"
"2014-05-03T16:50:00+01:00","427"
"2014-05-03T23:25:00+01:00","13"
"2014-05-04T05:20:00+01:00","427"
"2014-05-04T11:30:00+01:00","45"
"2014-05-04T17:40:00+01:00","415"
"2014-05-05T00:10:00+01:00","27"
"2014-05-05T06:00:00+01:00","411"
"2014-05-05T12:10:00+01:00","65"
"2014-05-05T18:05:00+01:00","404"
"2014-05-06T00:55:00+01:00","50"
"2014-05-06T06:30:00+01:00","406"
"2014-05-06T12:40:00+01:00","106"
"2014-05-06T19:00:00+01:00","396"
"2014-05-07T01:40:00+01:00","100"
"2014-05-07T07:40:00+01:00","403"
"2014-05-07T14:05:00+01:00","116"
"2014-05-07T20:05:00+01:00","382"
"2014-05-08T02:45:00+01:00","105"
"2014-05-08T09:00:00+01:00","387"
"2014-05-08T15:25:00+01:00","125"
"2014-05-08T21:05:00+01:00","390"
"2014-05-09T04:20:00+01:00","109"
