"datum","value"
"2000-09-01T04:00:00","468"
"2000-09-01T10:50:00","45"
"2000-09-01T16:30:00","477"
"2000-09-01T23:10:00","20"
"2000-09-02T04:55:00","480"
"2000-09-02T10:55:00","71"
"2000-09-02T17:10:00","484"
"2000-09-02T23:40:00","59"
"2000-09-03T06:00:00","480"
"2000-09-03T11:45:00","94"
"2000-09-03T17:55:00","466"
"2000-09-04T00:25:00","55"
"2000-09-04T06:15:00","449"
"2000-09-04T12:35:00","83"
"2000-09-04T18:35:00","437"
"2000-09-05T01:05:00","64"
"2000-09-05T07:05:00","417"
"2000-09-05T13:25:00","96"
"2000-09-05T19:25:00","411"
"2000-09-06T01:50:00","90"
"2000-09-06T08:05:00","388"
"2000-09-06T13:50:00","109"
"2000-09-06T20:40:00","420"
"2000-09-07T02:50:00","174"
"2000-09-07T08:55:00","390"
"2000-09-07T15:45:00","117"
"2000-09-07T21:40:00","333"
"2000-09-08T03:35:00","145"
"2000-09-08T10:45:00","404"
"2000-09-08T17:20:00","163"
"2000-09-08T22:55:00","378"
"2000-09-09T05:20:00","125"
"2000-09-09T11:55:00","388"
"2000-09-09T18:15:00","125"
"2000-09-10T00:25:00","405"
"2000-09-10T06:30:00","119"
"2000-09-10T12:40:00","389"
"2000-09-10T18:55:00","89"
"2000-09-11T01:00:00","414"
"2000-09-11T07:20:00","97"
"2000-09-11T13:25:00","398"
"2000-09-11T19:40:00","49"
"2000-09-12T01:40:00","409"
"2000-09-12T08:00:00","76"
"2000-09-12T14:05:00","418"
"2000-09-12T20:15:00","55"
"2000-09-13T02:10:00","446"
"2000-09-13T08:10:00","86"
"2000-09-13T14:30:00","442"
"2000-09-13T20:55:00","45"
"2000-09-14T02:35:00","449"
"2000-09-14T09:05:00","70"
"2000-09-14T14:50:00","454"
"2000-09-14T21:35:00","33"
"2000-09-15T03:15:00","454"
"2000-09-15T09:30:00","58"
"2000-09-15T15:25:00","453"
"2000-09-15T22:10:00","29"
"2000-09-16T04:00:00","473"
"2000-09-16T09:50:00","97"
"2000-09-16T15:40:00","483"
"2000-09-16T22:30:00","60"
"2000-09-17T04:10:00","483"
"2000-09-17T10:50:00","63"
"2000-09-17T16:40:00","465"
"2000-09-17T23:05:00","34"
"2000-09-18T05:05:00","449"
"2000-09-18T11:25:00","45"
"2000-09-18T17:05:00","437"
"2000-09-18T23:40:00","30"
"2000-09-19T05:30:00","439"
"2000-09-19T11:50:00","65"
"2000-09-19T17:45:00","434"
"2000-09-20T00:20:00","40"
"2000-09-20T06:10:00","397"
"2000-09-20T12:55:00","45"
"2000-09-20T18:50:00","410"
"2000-09-21T01:35:00","51"
"2000-09-21T07:15:00","407"
"2000-09-21T13:35:00","105"
"2000-09-21T19:35:00","419"
"2000-09-22T02:55:00","88"
"2000-09-22T08:20:00","377"
"2000-09-22T15:05:00","82"
"2000-09-22T21:15:00","396"
