datum,naam
2017-09-12,Aileen
2017-12-12,Ana
2018-01-01,Carmen
2018-01-04,Eleanor
2018-01-18,David
2018-03-01,Emma
2018-09-20,Ali
2018-10-30,Adrian
2018-12-01,Diana
2018-12-16,Deirdre
2019-01-29,Helena
2019-02-09,Isaias
2019-03-05,Freya
2019-03-10,Gareth
2019-04-27,Hannah
2019-06-08,Miguel
2019-11-03,Amélie
2019-12-08,Atiyah
2019-12-18,Daniel
2019-12-23,Fabien
2020-02-04,Hervé
2020-02-10,Ciara
2020-02-17,Dennis
2020-03-02,Karine
2020-08-25,Francis
2020-09-26,Alex
2020-11-02,Aiden
2020-12-04,Dora
2020-12-26,Bella
2021-01-20,Gaetan
2021-02-07,Darcy
2021-03-11,Lola
2021-10-23,Aurore
2021-11-26,Arwen
2022-01-30,Corrie
2022-02-19,Eunice
2022-04-08,Diego
2022-11-02,Cláudio
2022-11-16,Regina
2023-01-15,Gérard
2023-03-13,Larisa
