datum,zon,temp
2023-01-01T00:00:00+00:00,9.4,0
2023-01-01T00:30:00+00:00,9.4,0
2023-01-01T01:00:00+00:00,9.3,0
2023-01-01T02:00:00+00:00,9.3,0
2023-01-01T02:30:00+00:00,9.2,0
2023-01-01T03:00:00+00:00,9.2,0
2023-01-01T03:30:00+00:00,9.2,0
2023-01-01T04:00:00+00:00,9.2,0
2023-01-01T04:30:00+00:00,9.1,0
2023-01-01T05:00:00+00:00,9.2,0
2023-01-01T05:30:00+00:00,9.2,0
2023-01-01T06:00:00+00:00,9.2,0
2023-01-01T06:30:00+00:00,9.2,0
2023-01-01T07:00:00+00:00,9.2,0
2023-01-01T07:30:00+00:00,9.2,0
2023-01-01T08:00:00+00:00,9.3,2
2023-01-01T08:30:00+00:00,9.4,23
2023-01-01T09:00:00+00:00,9.4,46
2023-01-01T09:30:00+00:00,9.4,96
2023-01-01T10:00:00+00:00,9.4,172
2023-01-01T10:30:00+00:00,9.4,97
2023-01-01T11:00:00+00:00,9.4,87
2023-01-01T11:30:00+00:00,9.4,128
2023-01-01T12:00:00+00:00,9.4,173
2023-01-01T12:30:00+00:00,9.4,121
2023-01-01T13:00:00+00:00,9.4,73
2023-01-01T13:30:00+00:00,9.4,62
2023-01-01T14:00:00+00:00,9.4,44
2023-01-01T14:30:00+00:00,9.4,34
2023-01-01T15:00:00+00:00,9.4,17
2023-01-01T15:30:00+00:00,9.4,4
2023-01-01T16:00:00+00:00,9.4,0
2023-01-01T16:30:00+00:00,9.4,0
2023-01-01T17:00:00+00:00,9.4,0
2023-01-01T17:30:00+00:00,9.4,0
2023-01-01T18:00:00+00:00,9.4,0
2023-01-01T18:30:00+00:00,9.4,0
2023-01-01T19:00:00+00:00,9.4,0
2023-01-01T19:30:00+00:00,9.4,0
2023-01-01T20:00:00+00:00,9.4,0
2023-01-01T20:30:00+00:00,9.4,0
2023-01-01T21:00:00+00:00,9.4,0
2023-01-01T21:30:00+00:00,9.5,0
2023-01-01T22:00:00+00:00,9.5,0
2023-01-01T22:30:00+00:00,9.5,0
2023-01-01T23:00:00+00:00,9.4,0
2023-01-01T23:30:00+00:00,9.5,0
2023-01-02T00:00:00+00:00,9.5,0
2023-01-02T00:30:00+00:00,9.5,0
2023-01-02T01:00:00+00:00,9.6,0
2023-01-02T01:30:00+00:00,9.5,0
2023-01-02T02:00:00+00:00,9.5,0
2023-01-02T02:30:00+00:00,9.4,0
2023-01-02T03:00:00+00:00,9.4,0
2023-01-02T03:30:00+00:00,9.4,0
2023-01-02T04:00:00+00:00,9.4,0
2023-01-02T04:30:00+00:00,9.4,0
2023-01-02T05:00:00+00:00,9.4,0
2023-01-02T05:30:00+00:00,9.4,0
2023-01-02T06:00:00+00:00,9.4,0
2023-01-02T06:30:00+00:00,9.4,0
2023-01-02T07:00:00+00:00,9.4,0
2023-01-02T07:30:00+00:00,9.4,0
2023-01-02T08:00:00+00:00,9.4,1
2023-01-02T08:30:00+00:00,9.4,8
2023-01-02T09:00:00+00:00,9.5,31
2023-01-02T09:30:00+00:00,9.4,27
2023-01-02T10:00:00+00:00,9.4,38
2023-01-02T10:30:00+00:00,9.5,34
2023-01-02T11:00:00+00:00,9.4,50
2023-01-02T11:30:00+00:00,9.4,98
2023-01-02T12:00:00+00:00,9.5,59
2023-01-02T12:30:00+00:00,9.5,70
2023-01-02T13:00:00+00:00,9.6,151
2023-01-02T13:30:00+00:00,9.6,27
2023-01-02T14:00:00+00:00,9.5,85
2023-01-02T14:30:00+00:00,9.5,81
2023-01-02T15:00:00+00:00,9.5,77
2023-01-02T15:30:00+00:00,9.5,12
2023-01-02T16:00:00+00:00,9.4,1
2023-01-02T16:30:00+00:00,9.4,0
2023-01-02T17:00:00+00:00,9.4,0
2023-01-02T17:30:00+00:00,9.4,0
2023-01-02T18:00:00+00:00,9.4,0
2023-01-02T18:30:00+00:00,9.4,0
2023-01-02T19:00:00+00:00,9.4,0
2023-01-02T19:30:00+00:00,9.3,0
2023-01-02T20:00:00+00:00,9.2,0
2023-01-02T20:30:00+00:00,9.2,0
2023-01-02T21:00:00+00:00,9.3,0
2023-01-02T21:30:00+00:00,9.2,0
2023-01-02T22:00:00+00:00,9.3,0
2023-01-02T22:30:00+00:00,9.2,0
2023-01-02T23:00:00+00:00,9.2,0
2023-01-02T23:30:00+00:00,9.4,0
2023-01-03T00:00:00+00:00,9.4,0
2023-01-03T00:30:00+00:00,9.4,0
2023-01-03T01:00:00+00:00,9.4,0
2023-01-03T01:30:00+00:00,9.3,0
2023-01-03T02:00:00+00:00,9.2,0
2023-01-03T02:30:00+00:00,9.4,0
2023-01-03T03:00:00+00:00,9.4,0
2023-01-03T03:30:00+00:00,9.4,0
2023-01-03T04:00:00+00:00,9.4,0
2023-01-03T04:30:00+00:00,9.4,0
2023-01-03T05:00:00+00:00,9.3,0
2023-01-03T05:30:00+00:00,9.2,0
2023-01-03T06:00:00+00:00,9.2,0
2023-01-03T06:30:00+00:00,9.2,0
2023-01-03T07:00:00+00:00,9.2,0
2023-01-03T07:30:00+00:00,9.2,0
2023-01-03T08:00:00+00:00,9.2,9
2023-01-03T08:30:00+00:00,9.2,41
2023-01-03T09:00:00+00:00,9.2,45
2023-01-03T09:30:00+00:00,9.2,129
2023-01-03T10:00:00+00:00,9.3,154
2023-01-03T10:30:00+00:00,9.3,150
